date,hp_idx
1987-01-01,63.965
1987-02-01,64.42399999999999
1987-03-01,64.735
1987-04-01,65.131
1987-05-01,65.563
1987-06-01,66.071
1987-07-01,66.507
1987-08-01,66.937
1987-09-01,67.33
1987-10-01,67.738
1987-11-01,68.10600000000001
1987-12-01,68.505
1988-01-01,68.858
1988-02-01,69.262
1988-03-01,69.638
1988-04-01,69.975
1988-05-01,70.425
1988-06-01,70.888
1988-07-01,71.354
1988-08-01,71.8
1988-09-01,72.24
1988-10-01,72.635
1988-11-01,73.071
1988-12-01,73.464
1989-01-01,73.945
1989-02-01,74.381
1989-03-01,74.777
1989-04-01,75.084
1989-05-01,75.306
1989-06-01,75.479
1989-07-01,75.657
1989-08-01,75.834
1989-09-01,76.056
1989-10-01,76.282
1989-11-01,76.51899999999999
1989-12-01,76.704
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.278
1990-05-01,77.297
1990-06-01,77.259
1990-07-01,77.138
1990-08-01,77.009
1990-09-01,76.84899999999999
1990-10-01,76.699
1990-11-01,76.369
1990-12-01,76.185
1991-01-01,75.915
1991-02-01,75.733
1991-03-01,75.569
1991-04-01,75.565
1991-05-01,75.764
1991-06-01,75.992
1991-07-01,76.081
1991-08-01,76.108
1991-09-01,76.193
1991-10-01,76.074
1991-11-01,76.01100000000001
1991-12-01,76.055
1992-01-01,76.085
1992-02-01,76.155
1992-03-01,76.27600000000001
1992-04-01,76.345
1992-05-01,76.398
1992-06-01,76.331
1992-07-01,76.263
1992-08-01,76.23
1992-09-01,76.238
1992-10-01,76.375
1992-11-01,76.557
1992-12-01,76.673
1993-01-01,76.783
1993-02-01,76.836
1993-03-01,76.867
1993-04-01,76.936
1993-05-01,77.03699999999999
1993-06-01,77.242
1993-07-01,77.429
1993-08-01,77.612
1993-09-01,77.794
1993-10-01,77.941
1993-11-01,78.14699999999999
1993-12-01,78.325
1994-01-01,78.59
1994-02-01,78.726
1994-03-01,78.855
1994-04-01,78.986
1994-05-01,79.221
1994-06-01,79.421
1994-07-01,79.593
1994-08-01,79.78
