date,hp_idx
1987-01-01,64.37466666666667
1987-04-01,65.58833333333332
1987-07-01,66.92466666666667
1987-10-01,68.11633333333333
1988-01-01,69.25266666666667
1988-04-01,70.42933333333333
1988-07-01,71.798
1988-10-01,73.05666666666667
1989-01-01,74.36766666666666
1989-04-01,75.28966666666666
1989-07-01,75.849
1989-10-01,76.50166666666667
1990-01-01,77.05033333333334
1990-04-01,77.278
1990-07-01,76.99866666666667
1990-10-01,76.41766666666666
1991-01-01,75.739
1991-04-01,75.77366666666667
1991-07-01,76.12733333333334
1991-10-01,76.04666666666667
1992-01-01,76.17200000000001
1992-04-01,76.358
1992-07-01,76.24366666666667
1992-10-01,76.53500000000001
1993-01-01,76.82866666666666
1993-04-01,77.07166666666667
1993-07-01,77.61166666666666
1993-10-01,78.13766666666668
1994-01-01,78.72366666666666
1994-04-01,79.20933333333333
1994-07-01,79.76366666666667
1994-10-01,80.16966666666667
1995-01-01,80.517
1995-04-01,80.716
1995-07-01,81.11733333333332
1995-10-01,81.61166666666666
1996-01-01,81.993
1996-04-01,82.59366666666666
1996-07-01,83.089
1996-10-01,83.54899999999999
1997-01-01,84.19466666666666
1997-04-01,84.85366666666667
1997-07-01,85.58466666666668
1997-10-01,86.62333333333333
1998-01-01,88.019
1998-04-01,89.36099999999999
1998-07-01,90.78333333333335
1998-10-01,92.20833333333333
1999-01-01,93.69766666666665
1999-04-01,95.367
1999-07-01,97.22333333333334
1999-10-01,99.17333333333333
2000-01-01,101.33866666666667
2000-04-01,103.67433333333334
2000-07-01,105.78633333333333
2000-10-01,108.27433333333333
2001-01-01,110.48433333333332
2001-04-01,112.20333333333333
2001-07-01,114.15633333333334
2001-10-01,115.87400000000001
2002-01-01,117.89133333333332
2002-04-01,120.71533333333333
2002-07-01,123.832
2002-10-01,126.67533333333334
2003-01-01,129.32066666666665
2003-04-01,131.75566666666666
2003-07-01,135.013
2003-10-01,138.83466666666666
2004-01-01,143.29866666666666
2004-04-01,148.209
2004-07-01,152.71699999999998
2004-10-01,157.53566666666669
2005-01-01,163.4813333333333
2005-04-01,169.34699999999998
2005-07-01,174.57966666666667
2005-10-01,179.539
2006-01-01,183.32366666666667
2006-04-01,183.99733333333333
2006-07-01,182.82033333333334
2006-10-01,183.64833333333334
2007-01-01,184.42100000000002
2007-04-01,181.62133333333335
2007-07-01,178.26200000000003
2007-10-01,175.371
2008-01-01,171.57500000000002
2008-04-01,166.67133333333334
2008-07-01,161.95399999999998
2008-10-01,156.02833333333334
2009-01-01,150.06
2009-04-01,147.91099999999997
2009-07-01,148.23666666666668
2009-10-01,147.97066666666666
2010-01-01,146.295
2010-04-01,146.1726666666667
2010-07-01,143.97433333333333
2010-10-01,142.25466666666668
2011-01-01,140.61833333333334
2011-04-01,139.92566666666667
2011-07-01,139.23566666666667
2011-10-01,137.26033333333334
2012-01-01,137.01533333333333
2012-04-01,140.11333333333334
2012-07-01,142.28633333333332
2012-10-01,144.56366666666668
2013-01-01,148.191
2013-04-01,152.85566666666668
2013-07-01,156.932
2013-10-01,160.10299999999998
2014-01-01,162.514
2014-04-01,163.70633333333333
2014-07-01,165.23299999999998
2014-10-01,167.34400000000002
2015-01-01,169.189
2015-04-01,170.88266666666667
2015-07-01,172.9656666666667
2015-10-01,175.69233333333332
2016-01-01,177.69733333333338
2016-04-01,179.42600000000002
2016-07-01,181.83666666666667
2016-10-01,184.749
2017-01-01,187.36866666666666
2017-04-01,189.62033333333332
2017-07-01,192.63433333333333
2017-10-01,195.98466666666664
2018-01-01,199.15233333333333
2018-04-01,201.44366666666667
2018-07-01,203.67633333333333
2018-10-01,205.66666666666666
2019-01-01,206.768
2019-04-01,208.1146666666667
2019-07-01,210.14466666666667
2019-10-01,212.8663333333333
2020-01-01,215.64633333333333
2020-04-01,217.16033333333334
2020-07-01,222.62300000000002
2020-10-01,233.19133333333332
2021-01-01,242.287
2021-04-01,253.658
2021-07-01,266.82800000000003
2021-10-01,277.4936666666667
2022-01-01,290.9246666666667
2022-04-01,302.2645
