date,spend,permits,permit_val,starts,completions,manufactured,new_for_sale,months_supply,emratio,pop_level,gdp,mortgage_rate,fed_fund_rate,disp_income,pm_save,consump_durable,new_sold,hp_idx,rent_vacancy,owner_vacancy,week_earning,delinquent_rate,hor,hp_idx_qtr
2009-01-01,283870,337,4187.117,358,566.0,57,340,12.2,60.6,234739,98.4669460385478,5.0475,0.14,11718.0,676.6,1023.0,336,151.506,10.1,2.7,772.0,8.01,67.3,150.06
2009-07-01,244141,489,8468.407,509,500.0,50,272,7.9,59.3,235870,97.7708977920606,5.222,0.2,11560.4,593.9,1020.8,411,148.409,11.1,2.6,774.0,9.48,67.6,148.23666666666668
2010-10-01,236512,408,6389.857,438,479.0,44,199,8.2,58.3,238530,99.7568693422834,4.225,0.2,11950.4,718.1,1079.2,291,142.531,9.4,2.7,788.0,10.33,66.5,142.25466666666668
2006-03-01,668311,1551,25595.923,1601,1911.0,135,550,5.9,63.1,227975,101.17077658347,6.324,4.52,11195.7,408.1,1151.0,1116,184.364,9.566666666666666,2.166666666666667,707.3333333333334,1.6166666666666667,68.63333333333334,183.77277777777775
2018-09-01,551118,854,16009.395,880,837.0,95,326,7.1,60.4,258290,100.411941097908,4.6275,1.91,14495.6,1214.1,1475.1,595,204.389,6.766666666666667,1.5333333333333334,942.0,2.8833333333333333,64.66666666666667,205.0032222222222
2012-04-01,258567,484,9364.083,504,494.0,55,143,4.2,58.4,242784,100.246259843289,3.91,0.09,12486.5,1062.5,1137.4,354,139.155,8.6,2.1,821.0,10.45,65.5,140.11333333333334
2011-03-01,241586,399,7728.053,429,368.0,46,179,7.1,58.4,239000,99.5563302488957,4.836,0.15,12083.3,780.5,1095.0,300,139.982,9.366666666666664,2.533333333333333,793.0,10.486666666666666,66.06666666666668,140.15655555555557
2004-10-01,551137,1593,20826.62,1660,1539.0,136,414,3.9,62.3,224192,100.082302618552,5.7225,1.86,10707.4,387.9,1098.6,1305,155.75,10.0,1.8,692.0,1.41,69.2,157.53566666666669
2000-03-01,353452,1253,15373.755,1313,1312.0,287,310,4.3,64.6,211772,101.65632416863,8.24,5.78,9370.3,311.8,923.3,900,102.126,7.966666666666667,1.5333333333333334,605.0,1.97,67.16666666666667,102.89577777777778
2009-08-01,250768,491,7842.056,487,517.0,48,263,7.5,59.1,236087,97.8775688900811,5.1925,0.18,11538.6,485.5,1089.1,418,148.27700000000002,10.966666666666669,2.6333333333333333,776.0,9.786666666666669,67.46666666666667,148.148
