iter	Passed	Remaining
436	1377	1774
437	1380	1770
438	1383	1767
439	1386	1764
440	1388	1760
441	1391	1756
442	1393	1752
443	1396	1748
444	1399	1745
445	1402	1741
446	1404	1738
447	1407	1734
448	1410	1730
449	1413	1727
450	1415	1723
451	1418	1719
452	1421	1716
453	1423	1712
454	1426	1708
455	1429	1705
456	1432	1701
457	1434	1697
458	1437	1693
459	1439	1689
460	1442	1686
461	1444	1682
462	1447	1678
463	1449	1674
464	1452	1670
465	1454	1666
466	1456	1662
467	1459	1659
468	1462	1655
469	1464	1651
470	1466	1647
471	1469	1643
472	1472	1640
473	1475	1637
474	1478	1633
475	1480	1630
476	1483	1626
477	1486	1622
478	1489	1619
479	1491	1616
480	1494	1612
481	1496	1608
482	1499	1604
483	1501	1600
484	1504	1597
485	1507	1593
486	1509	1590
487	1512	1586
488	1514	1582
489	1517	1579
490	1520	1576
491	1523	1572
492	1525	1569
493	1528	1565
494	1530	1561
495	1533	1558
496	1536	1555
497	1538	1551
498	1541	1547
499	1543	1543
500	1545	1539
501	1548	1536
502	1551	1533
503	1554	1529
504	1556	1525
505	1559	1522
506	1561	1518
507	1564	1515
508	1567	1512
509	1570	1508
510	1572	1504
511	1575	1501
512	1578	1498
513	1581	1495
514	1583	1491
515	1586	1487
516	1588	1484
517	1591	1480
518	1594	1477
519	1597	1474
520	1599	1470
521	1602	1467
522	1604	1463
523	1607	1460
524	1610	1457
525	1613	1453
526	1616	1450
527	1618	1446
528	1621	1443
529	1623	1440
530	1626	1436
531	1629	1433
532	1632	1430
533	1634	1426
534	1637	1423
535	1639	1419
536	1642	1416
537	1645	1412
538	1648	1409
539	1650	1406
540	1653	1402
541	1656	1399
542	1658	1396
543	1661	1392
544	1664	1389
545	1666	1386
546	1669	1382
547	1672	1379
548	1675	1376
549	1677	1372
550	1680	1369
551	1682	1365
552	1685	1362
553	1688	1359
554	1691	1355
555	1693	1352
556	1695	1348
557	1698	1345
558	1701	1341
559	1703	1338
560	1706	1335
561	1709	1332
562	1711	1328
563	1714	1325
564	1716	1321
565	1719	1318
566	1722	1315
567	1724	1311
568	1727	1308
569	1729	1305
570	1733	1302
571	1735	1298
572	1738	1295
573	1741	1292
574	1743	1288
575	1746	1285
576	1749	1282
577	1752	1279
578	1754	1275
579	1757	1272
580	1759	1269
581	1762	1266
582	1766	1263
583	1768	1259
584	1771	1256
585	1773	1253
586	1776	1249
587	1779	1247
588	1782	1243
589	1785	1240
590	1787	1237
591	1790	1233
592	1794	1231
593	1796	1228
594	1799	1224
595	1802	1221
596	1804	1218
597	1807	1215
598	1811	1212
599	1813	1209
600	1816	1205
601	1818	1202
602	1821	1199
603	1824	1196
604	1826	1192
605	1829	1189
606	1831	1185
607	1833	1182
608	1836	1179
609	1839	1176
610	1841	1172
611	1844	1169
612	1847	1166
613	1849	1162
614	1852	1159
615	1855	1156
616	1857	1153
617	1860	1149
618	1862	1146
619	1865	1143
620	1868	1140
621	1871	1137
622	1873	1133
623	1876	1130
624	1879	1127
625	1882	1124
626	1884	1121
627	1887	1118
628	1890	1114
629	1892	1111
630	1895	1108
631	1897	1105
632	1901	1102
633	1903	1098
634	1906	1095
635	1908	1092
636	1911	1089
637	1914	1086
638	1917	1083
639	1919	1079
640	1922	1076
641	1924	1073
642	1927	1070
643	1930	1066
644	1932	1063
645	1935	1060
646	1938	1057
647	1940	1054
648	1943	1050
649	1945	1047
650	1948	1044
651	1951	1041
652	1954	1038
653	1956	1035
654	1959	1031
