iter	RMSE
438	0.5051565179
439	0.5036248209
440	0.5026180194
441	0.5007521711
442	0.499531295
443	0.4987428161
444	0.4981545112
445	0.4967734382
446	0.4965094278
447	0.4955250383
448	0.4941003748
449	0.4927084615
450	0.4903025244
451	0.490077436
452	0.4893338933
453	0.4883656923
454	0.4881243427
455	0.4862799861
456	0.4860797556
457	0.4851629798
458	0.4847450357
459	0.483269874
460	0.4825193624
461	0.4813562163
462	0.4802620571
463	0.4788205185
464	0.4774027506
465	0.4763922651
466	0.4756765693
467	0.4740926229
468	0.4723141679
469	0.4721126771
470	0.4705708372
471	0.4701180537
472	0.4689199194
473	0.4664859912
474	0.4662652181
475	0.4651576615
476	0.4631489493
477	0.4625523186
478	0.4614690349
479	0.4601715657
480	0.4599584164
481	0.4597486637
482	0.4586191951
483	0.4568318663
484	0.4555699514
485	0.4541262592
486	0.4530112348
487	0.4524973125
488	0.4511877684
489	0.4509859633
490	0.4507311319
491	0.4505489445
492	0.449632254
493	0.4494472572
494	0.449256255
495	0.4481098737
496	0.4471311385
497	0.4457874543
498	0.4444675719
499	0.4430468769
500	0.4412603114
501	0.4404656236
502	0.4394814307
503	0.4384936446
504	0.4373470259
505	0.4364889392
506	0.4353599153
507	0.43328365
508	0.4323839846
509	0.4315320945
510	0.4313612199
511	0.4296858788
512	0.4285335651
513	0.4275719349
514	0.4258976118
515	0.4252265478
516	0.423982883
517	0.4230769308
518	0.4222698733
519	0.4215001268
520	0.4213172939
521	0.4198053933
522	0.4189133904
523	0.4177596334
524	0.4169811148
525	0.4151888298
526	0.4142379394
527	0.4131123778
528	0.4122557275
529	0.4117346838
530	0.410345053
531	0.4101615379
532	0.409974826
533	0.4092319918
534	0.4090833503
535	0.4084159334
536	0.4079165322
537	0.4070912772
538	0.4060345443
539	0.4041294555
540	0.4030513641
541	0.40228364
542	0.4015364329
543	0.4006527662
544	0.3992269685
545	0.3973421212
546	0.3965565071
547	0.3959301147
548	0.394845563
549	0.3941302374
550	0.393308513
551	0.3931652657
552	0.3919893494
553	0.3910324794
554	0.3905879605
555	0.389460308
556	0.3886907292
557	0.3874012304
558	0.3861873632
559	0.3847838692
560	0.3833646747
561	0.3824139824
562	0.3812947181
563	0.3807414497
564	0.3791396371
565	0.3784553482
566	0.3779626608
567	0.3777007351
568	0.3768327427
569	0.3762176166
570	0.3760576586
571	0.3753325868
572	0.3741642742
573	0.3734540535
574	0.3727602101
575	0.3719006771
576	0.3704797077
577	0.3689586965
578	0.368274209
579	0.3677533052
580	0.3671110498
581	0.3665587622
582	0.3656505926
583	0.3652108299
584	0.3650290522
585	0.3644525979
586	0.3643113103
587	0.3638129273
588	0.3636132036
589	0.3623826014
590	0.3622412107
591	0.3617433776
592	0.3611622891
593	0.3601864005
594	0.3596589263
595	0.3590341358
596	0.3589104714
597	0.3580357965
598	0.3579105089
599	0.3572922884
600	0.3571496147
601	0.3568367187
602	0.3564926195
603	0.3551377458
604	0.3534461045
605	0.3533102567
606	0.3526621535
607	0.3514901371
608	0.3506084291
609	0.3490087853
610	0.3480313945
611	0.347099941
612	0.3469201366
613	0.3467499341
614	0.3456912939
615	0.3450740837
616	0.3439932458
617	0.3434966362
618	0.3430099924
619	0.3424936857
620	0.3415767587
621	0.3409889762
622	0.3402096415
623	0.3396871546
624	0.3392653698
625	0.3379806908
626	0.3371123857
627	0.3369673256
628	0.3362834418
629	0.3355318855
630	0.3353872645
631	0.334122629
632	0.3330740463
633	0.3323337747
634	0.3308250856
635	0.3296774324
636	0.3294052072
637	0.3278390383
638	0.3277052872
639	0.3272353386
640	0.3266950213
641	0.3261746988
642	0.3260492324
643	0.3259024372
644	0.3257659386
645	0.3245291064
646	0.3244211326
647	0.3235341175
648	0.3221883171
649	0.321445335
650	0.3208362689
651	0.3207193337
652	0.3198184859
653	0.3192288367
654	0.3187957869
655	0.3175089388
656	0.3165636242
657	0.316079994
658	0.3155057151
659	0.3149391416
660	0.3146331726
661	0.3141683612
662	0.3131654669
663	0.3124771174
664	0.3115466243
665	0.3108790935
666	0.3098703071
667	0.3097349478
668	0.3095963405
669	0.3089216068
670	0.3083018454
671	0.3076877832
672	0.3071481891
673	0.3070508451
674	0.3067136139
675	0.3063586845
676	0.3053075173
677	0.3044759019
678	0.3043789839
679	0.3037637038
680	0.3028206774
681	0.3015761161
682	0.3010393673
683	0.3004361862
684	0.3003316419
685	0.2994210655
686	0.2988609344
687	0.2987128265
688	0.2979589911
689	0.2971415563
690	0.2966560633
691	0.2955519512
692	0.2945402052
693	0.2941874684
694	0.2929811701
695	0.2922805005
696	0.2916465372
697	0.2912731672
698	0.2908715032
699	0.2901638602
700	0.2896989256
701	0.2887417804
702	0.2878785877
703	0.2868605466
704	0.2867618543
705	0.285618424
706	0.284814931
707	0.2840014165
708	0.2834949468
709	0.2831264139
710	0.2825995228
711	0.2822604546
712	0.2817943031
713	0.2816707523
714	0.2808593496
715	0.2800726984
716	0.2790982596
717	0.2789942329
718	0.2785112737
719	0.2779588447
720	0.2766244419
721	0.2755841294
722	0.2744904388
723	0.2741706015
724	0.2739709926
725	0.2735891283
726	0.2731062794
727	0.2729756799
728	0.2727364162
729	0.2722810246
730	0.2717784591
731	0.2708541352
732	0.27004908
733	0.269724429
734	0.2692170324
735	0.2681795417
736	0.2676991174
737	0.2675048605
738	0.2673518835
739	0.2672635841
740	0.2664880641
741	0.2659304081
742	0.2653431472
743	0.2652571105
744	0.2647860439
745	0.2641392716
746	0.2631190266
747	0.2625540071
748	0.2616893733
749	0.2608835036
750	0.2607986918
751	0.2606287383
752	0.2603933708
753	0.2597288774
754	0.2587752107
755	0.2585246877
756	0.258107312
757	0.2576126065
758	0.2568768892
759	0.2568018903
760	0.2567260508
761	0.2557443225
762	0.2556596407
763	0.2552231945
764	0.2545929163
765	0.2545171503
766	0.2536417572
767	0.253394399
768	0.2530650233
769	0.2524214423
770	0.2522364156
771	0.2513649623
772	0.2510863256
773	0.2507428418
774	0.2500875335
775	0.2497359672
776	0.2495226079
777	0.2487092247
778	0.2482520609
779	0.2480213216
780	0.2470503897
781	0.2469398641
782	0.2466464671
783	0.2461150672
784	0.2453772947
785	0.2450851305
786	0.2449962356
787	0.2445357077
788	0.2438067551
789	0.2430473915
790	0.2423470507
791	0.2421512189
792	0.2417960702
793	0.2413176107
794	0.2412306402
795	0.2410339136
796	0.240371078
797	0.2394893343
798	0.239411913
799	0.2388914286
800	0.2383764837
801	0.2381766813
802	0.2378972981
803	0.2375111545
804	0.23686572
805	0.2362575588
806	0.2360288677
807	0.235684045
808	0.2351574058
809	0.2348518106
810	0.234313178
811	0.2335346377
812	0.233422863
813	0.2330515195
